NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;58.8638;0.870864;67.5923;29.4901;2284;1628.6597;82153;43986;2.2106;255;32;30;1196;1088;1278;1065;67864;38125;37512;49924
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;59.6596;0.856303;69.6711;30.3035;2347;1612.7010;83425;41478;2.2853;264;35;29;1243;1104;1308;1086;68814;35943;39451;49928
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;106;0.0000;8546;20;0.7193;22;4;0;66;40;60;1;8464;16;676;617
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;179.7924;99.0982;70;8189.7589;5249;536;1.7786;41;1;11;60;10;59;8;3375;392;89;118
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;104;0.0000;8518;20;0.6749;25;43;0;59;45;55;2;8431;15;727;657
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;193.9493;110.4237;78;8522.4457;5467;553;1.9862;41;1;10;66;12;66;12;3533;394;78;98
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.056;0.848818;71.9306;30.7038;2378;1631.9006;87031;39359;2.3094;264;43;35;1243;1135;1318;1121;71527;34086;41845;51820
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;64.6553;0.855549;75.5717;32.2919;2501;1622.3201;88384;37264;2.4870;270;38;32;1308;1193;1416;1184;72297;32248;44257;52430
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;103;0.0000;8657;22;0.7570;32;43;0;65;38;62;3;8570;17;735;683
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;205.2748;121.7492;86;8632.8694;5489;609;2.2915;49;1;13;72;14;75;14;3457;427;70;84
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;68.4312;0.860803;79.4968;34.5644;2677;1586.4258;87758;35110;2.7398;272;42;32;1395;1282;1504;1287;71580;30290;46881;54195
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;104;0.0000;8579;27;0.7753;41;42;0;67;37;63;3;8492;21;766;710
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;215.1846;128.8276;91;8907.5130;5638;654;2.2359;55;1;14;75;16;75;16;3615;455;64;76
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;111;0.0000;8625;27;0.7825;40;42;0;67;44;64;3;8541;21;761;742
